priority_rank,asin,suggested_sku,account,impressions,clicks,conversions,units_sold,assigned_PH
1,B08V5MK449,CRSF100BM+PHCH1BMRBM+LSCY290BM,DCVoltage UK,19117,53,21,5,
2,B08XBXG4DR,CRSF100WH+LHTTE27WH,DCVoltage UK,304,8,17,19,
3,B0965HZJGN,ENC686,DCVoltage UK,12848,65,11,1,
4,B096FPKPNQ,ENC685,DCVoltage UK,12790,120,10,3,
5,B0GW7VBY3J,LHSWPBB22GD,LEDSone UK,3825,25,10,1,
6,B0CSDPYCLM,STBFT50M48EWH,LEDSone UK,3143,29,9,9,
7,B0FQVCJCKP,ENC9107,DCVoltage UK,106,0,8,23,
8,B0F9YNBRZD,LSMS320BG+RPR44WH,LEDSone UK,3956,15,8,18,
9,B0FMRL88RP,CRSF100WH2PK+LHTTE27WH2PK,DCVoltage UK,261,8,7,8,
10,B0GVSYH4DM,WCBTC140FG2PK+RPR44WH2PK,LEDSone UK,5309,16,6,7,
11,B0CNT2ML5D,PLADBC,DCVoltage UK,2839,15,6,7,
12,B0GW83X9F4,LHSWPBB22GD,DCVoltage UK,4056,32,6,6,
13,B0GW7T9WPD,CRSF1202WH,LEDSone UK,1364,18,6,6,
14,B0CHW3Q9VG,CRSF100YB+PHRI1PBRYB+LSDO300YB,LEDSone UK,4697,39,6,5,
15,B0FQVK88R8,ENC9103,DCVoltage UK,1360,6,5,7,
16,B0D9RXR2CM,WCDTGD3PK+RPR44WH3PK,LEDSone UK,1978,12,5,6,
17,B0CP3CZ4TM,CRFF100CH+PHUP1PCRCH+CNT900CH,DCVoltage UK,2126,29,5,5,
18,B0CMCPXP21,CRFF500CH+WCCY1ROCH3PK+LDMT45E2743PK,LEDSone UK,1892,8,5,5,
19,B0F29GB76Y,SPSD78SN2PK,LEDSone UK,183,0,5,5,
20,B0917RQ9PM,PLHCBC+LSDO210BC3PK,LEDSone UK,3803,36,5,3,
21,B0CG5ZHJYF,LSCY290BC2PK+RPR44WH2PK,DCVoltage UK,2070,12,5,1,
22,B0D794K9Y2,WCB7BM2PK+RPR44WH2PK,LEDSone UK,1009,4,5,1,
23,B0FNWFF268,LSWD360BG+RPR44WH,LEDSone UK,2034,23,4,13,
24,B08SHV91ZW,CRFF100GB+PHUP1PBRGB+CNT900GB,DCVoltage UK,1440,21,4,5,
25,B0H38YJTN8,LSGL9015GY2PK+RPM40WH2PK,DCVoltage UK,915,3,4,5,
26,B0FFB3XJ7G,BS6S8033GY,LEDSone UK,2398,28,4,4,
27,B0C8TZ2GMQ,PLADBS+LSDO210BS3PK,DCVoltage UK,1077,19,4,4,
28,B0H2SFBKWQ,PCBISR5PK,LEDSone UK,195,1,4,4,
29,B0F2919CBQ,LSCY290AA+RPR44WH,LEDSone UK,120,8,4,2,
30,B0GW8313KY,LHSWPBB22CH,LEDSone UK,2360,22,4,1,
31,B0GW84WQXL,,LEDSone UK,196,1,4,0,
32,B08WRTD7YP,PHCT1BMRBM+PHBA1BMRBM+LSYG410BI,DCVoltage UK,166,0,3,22,
33,B097YR1WKC,CRFF500BM+PHHT1PBRRO3PK+WCWDRO3PK,LEDSone UK,2854,46,3,10,
34,B0FTL8FBDR,TSST349131GRHPK,LEDSone UK,1132,9,3,8,
35,B0CLZYFPLL,CRSF100GB+PHCHPBRGB+LSCY290GB,LEDSone UK,614,7,3,7,
36,B08P1H5JLL,LSRP260CO+RPR44WH,DCVoltage UK,143,1,3,7,
37,B0DPM9QV89,LHCTOYB,LEDSone UK,495,3,3,5,
38,B0DTZ26LDY,LSHH240BG,LEDSone UK,61,0,3,5,
