ASIN,AMZ_Jun_GBP,AMZ_Jun_items,AMZ_Jul_GBP,AMZ_Jul_items,AMZ_JunJul_GBP,AMZ_JunJul_items
B093T3TR2Y,0.0,332,730.64,88,730.64,420
B093T3Q47R,0.0,148,414.7,55,414.7,203
B0DYNVVWQ2,0.0,58,35.23,25,35.23,83
B093T47MYR,0.0,27,174.2,20,174.2,47
B093TDWT9W,0.0,31,89.7,15,89.7,46
B093T2HQF5,0.0,29,166.74,14,166.74,43
B0CVKHL1MF,0.0,32,29.26,11,29.26,43
B0DYNT9K21,0.0,37,7.85,5,7.85,42
B0DGGYJDC9,0.0,40,0.0,0,0.0,40
B0GTQRN1PC,0.0,27,78.83,7,78.83,34
B093HC837J,0.0,18,97.5,13,97.5,31
B0GSFDYXLH,0.0,17,85.92,8,85.92,25
B0F291VKCF,11.92,18,100.76,7,112.68,25
B0CVL97X6X,0.0,19,14.28,4,14.28,23
B0F1CX6BYH,0.0,19,19.14,2,19.14,21
B0F28ZSNQ7,0.0,19,13.92,1,13.92,20
B0F28YSS5K,0.0,17,15.24,1,15.24,18
B08TX3HMFJ,0.0,9,62.45,5,62.45,14
B0DFHP411K,0.0,11,39.72,3,39.72,14
B0C2KRMRKX,12.89,8,49.55,5,62.44,13
B093T2J5FZ,0.0,11,23.82,2,23.82,13
B0GTYC2JTH,0.0,7,39.64,4,39.64,11
B0F48NQQG3,0.0,9,23.9,2,23.9,11
B0G39WZSPF,0.0,9,15.49,1,15.49,10
B0GLFZ9BSJ,0.0,10,0.0,0,0.0,10
B08TX1V5BV,0.0,7,37.47,3,37.47,10
B093HCLPM8,0.0,10,0.0,0,0.0,10
B0CVH12NPC,0.0,9,11.66,1,11.66,10
B0D5QZQGD1,0.0,5,94.57,4,94.57,9
B0CFTV6BY6,0.0,9,0.0,0,0.0,9
B0C3ZT6D5G,17.89,6,33.12,3,51.01,9
B093T38VGM,0.0,5,44.16,4,44.16,9
B08TX2N1T6,0.0,6,24.98,2,24.98,8
B0GSFKP29S,0.0,8,0.0,0,0.0,8
B08VGPWXG1,0.0,4,39.69,3,39.69,7
B0F28XSZY4,0.0,7,0.0,0,0.0,7
B0CVN68ZJ5,0.0,5,8.95,2,8.95,7
B093HCQGSL,0.0,4,39.36,2,39.36,6
B0DPMS12HM,0.0,1,58.3,5,58.3,6
B0CVL5MYFT,0.0,5,13.82,1,13.82,6
B0C3ZTR2VC,0.0,2,60.83,4,60.83,6
B0F9X18VKK,0.0,5,9.07,1,9.07,6
B0F2YRB13Q,0.0,5,4.49,1,4.49,6
B0CVL86ZQ4,0.0,5,0.0,0,0.0,5
B0GTQXH9HR,0.0,4,18.32,1,18.32,5
B0F2F8SKBV,0.0,3,27.82,2,27.82,5
B0D2983TQX,0.0,5,0.0,0,0.0,5
B0CTT2G3B5,0.0,4,12.49,1,12.49,5
B0D28X8ZF9,0.0,3,27.48,2,27.48,5
B0D7ZRWBS2,25.99,5,0.0,0,25.99,5
B08TMG646S,0.0,4,9.07,1,9.07,5
B0DFHL3XS3,15.89,4,0.0,0,15.89,4
B0C3GX7DNZ,0.0,3,9.91,1,9.91,4
B08VGPX5K5,17.49,4,0.0,0,17.49,4
B0D29516SS,0.0,2,28.14,2,28.14,4
B0C7H33MW9,0.0,0,70.89,4,70.89,4
B0BWTV2937,0.0,3,9.24,1,9.24,4
B0CXPRNXLT,0.0,3,0.0,0,0.0,3
B093T2KLYL,0.0,2,10.87,1,10.87,3
B0CGZQ6JCN,0.0,3,0.0,0,0.0,3
B0C7C6LPRH,0.0,3,0.0,0,0.0,3
B08XNNNTHT,0.0,3,0.0,0,0.0,3
B08FXS5TKR,0.0,2,8.99,1,8.99,3
B0D7S5N65L,0.0,2,12.49,1,12.49,3
B0CB8BV8GD,0.0,1,20.22,2,20.22,3
B08VGQMLYX,0.0,2,11.3,1,11.3,3
B0CHMSPNSP,0.0,2,13.61,1,13.61,3
B0F48PYKWX,0.0,3,0.0,0,0.0,3
B08TM48R5F,0.0,3,0.0,0,0.0,3
B0CVH87Z3W,0.0,2,6.57,1,6.57,3
B08X4FY3V5,0.0,2,13.12,1,13.12,3
B0D298MYFM,0.0,3,0.0,0,0.0,3
B08VGM55LP,0.0,3,0.0,0,0.0,3
B0D7S64HXG,0.0,2,0.0,0,0.0,2
B0GMRCLVCX,0.0,2,0.0,0,0.0,2
B0F2G1QNS3,0.0,2,0,0,0.0,2
B0CCJQMZZ8,15.49,2,0.0,0,15.49,2
B0C2KW36BR,0.0,2,0.0,0,0.0,2
B0GTYMPTZG,43.78,2,0.0,0,43.78,2
B0C3ZVCSP7,0.0,2,0.0,0,0.0,2
B08TX2CXR6,0.0,1,12.49,1,12.49,2
B0CD2D4QDH,0.0,1,12.49,1,12.49,2
B0F9WL4L72,0.0,0,27.64,2,27.64,2
B093T331FJ,16.09,1,11.32,1,27.41,2
B0F2GBNKYB,0.0,2,0.0,0,0.0,2
B0D5LRVWYD,42.98,1,21.49,1,64.47,2
B0CQT7VPJX,0.0,1,9.91,1,9.91,2
B0F9WXN1D1,0.0,1,9.08,1,9.08,2
B0C7GBXNTF,0.0,2,0.0,0,0.0,2
B0CVL32JC1,0.0,2,0.0,0,0.0,2
B0BWYGKPXF,0.0,2,0.0,0,0.0,2
B0DH1CR134,0.0,1,13.74,1,13.74,2
B0G39XQ14K,0.0,2,0.0,0,0.0,2
